,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,Class
1,2,48.0,2,3,5951.0,1,3,2.0,2,1,2.0,1,22.0,3,2,1.0,3,1.0,1,1,2.0
4,1,24.0,3,0,4870.0,1,3,3.0,3,1,4.0,4,53.0,3,3,2.0,3,2.0,1,1,2.0
9,2,30.0,4,0,5234.0,1,1,4.0,4,1,2.0,3,28.0,3,2,2.0,4,1.0,1,1,2.0
10,2,12.0,2,0,1295.0,1,2,3.0,2,1,1.0,3,25.0,3,1,1.0,3,1.0,1,1,2.0
11,1,48.0,2,9,4308.0,1,2,3.0,2,1,4.0,2,24.0,3,1,1.0,3,1.0,1,1,2.0
13,1,24.0,4,0,1199.0,1,5,4.0,3,1,4.0,3,60.0,3,2,2.0,2,1.0,1,1,2.0
15,1,24.0,2,3,1282.0,2,3,4.0,2,1,2.0,3,32.0,3,2,1.0,2,1.0,1,1,2.0
18,2,24.0,2,1,12579.0,1,5,4.0,2,1,2.0,4,44.0,3,3,1.0,4,1.0,2,1,2.0
29,1,60.0,3,9,6836.0,1,5,3.0,3,1,4.0,4,63.0,3,2,2.0,3,1.0,2,1,2.0
35,2,45.0,4,3,4746.0,1,2,4.0,3,1,2.0,2,25.0,3,2,2.0,2,1.0,1,1,2.0
37,3,18.0,2,3,2100.0,1,3,4.0,3,2,2.0,1,37.0,2,2,1.0,3,1.0,1,1,2.0
44,1,48.0,4,1,6143.0,1,5,4.0,2,1,4.0,4,58.0,2,3,2.0,2,1.0,1,1,2.0
54,2,36.0,3,0,2225.0,1,5,4.0,3,1,4.0,4,57.0,1,3,2.0,3,1.0,2,1,2.0
56,2,12.0,2,3,6468.0,5,1,2.0,3,1,1.0,4,52.0,3,2,1.0,4,1.0,2,1,2.0
59,1,36.0,4,2,6229.0,1,2,4.0,2,2,4.0,4,23.0,3,1,2.0,2,1.0,2,1,2.0
62,2,36.0,0,9,1953.0,1,5,4.0,3,1,4.0,4,61.0,3,3,1.0,4,1.0,2,1,2.0
63,2,48.0,0,9,14421.0,1,3,2.0,3,1,2.0,3,25.0,3,2,1.0,3,1.0,2,1,2.0
68,4,36.0,2,6,1819.0,1,3,4.0,3,1,4.0,4,37.0,2,3,1.0,3,1.0,2,1,2.0
74,1,36.0,2,6,1977.0,5,5,4.0,3,1,4.0,4,40.0,3,2,1.0,4,1.0,2,1,2.0
76,1,42.0,2,3,3965.0,1,2,4.0,3,1,3.0,3,34.0,3,2,1.0,3,1.0,1,1,2.0
80,4,24.0,2,3,5943.0,5,2,1.0,2,1,1.0,3,44.0,3,2,2.0,3,1.0,2,1,2.0
87,2,36.0,2,6,12612.0,2,3,1.0,3,1,4.0,4,47.0,3,3,1.0,3,2.0,2,1,2.0
89,1,12.0,0,5,1108.0,1,4,4.0,3,1,3.0,1,28.0,3,2,2.0,3,1.0,1,1,2.0
92,4,12.0,4,3,797.0,5,5,4.0,2,1,3.0,2,33.0,1,2,1.0,2,2.0,1,1,2.0
95,2,54.0,0,9,15945.0,1,2,3.0,3,1,4.0,4,58.0,3,1,1.0,3,1.0,2,1,2.0
105,2,24.0,4,1,11938.0,1,3,2.0,3,2,3.0,3,39.0,3,2,2.0,4,2.0,2,1,2.0
106,4,18.0,1,0,6458.0,1,5,2.0,3,1,4.0,4,39.0,1,2,2.0,4,2.0,2,1,2.0
113,4,36.0,4,0,7855.0,1,3,4.0,2,1,2.0,1,25.0,2,2,2.0,3,1.0,2,1,2.0
