,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,Class
799,2,9.0,2,0,1549.0,5,2,4.0,3,1,2.0,1,35.0,3,2,1.0,1,1.0,1,1,1.0
800,4,24.0,4,6,1597.0,1,5,4.0,3,1,4.0,4,54.0,3,3,2.0,3,2.0,1,1,1.0
801,2,18.0,4,3,1795.0,1,5,3.0,2,3,4.0,1,48.0,1,1,2.0,2,1.0,2,1,1.0
802,1,20.0,4,2,4272.0,1,5,1.0,2,1,4.0,2,24.0,3,2,2.0,3,1.0,1,1,1.0
803,4,12.0,4,3,976.0,5,5,4.0,3,1,4.0,3,35.0,3,2,2.0,3,1.0,1,1,1.0
804,2,12.0,2,0,7472.0,5,1,1.0,2,1,2.0,1,24.0,3,1,1.0,1,1.0,1,1,1.0
806,2,6.0,2,3,590.0,1,2,3.0,4,1,3.0,1,26.0,3,2,1.0,2,1.0,1,2,1.0
807,4,12.0,4,3,930.0,5,5,4.0,3,1,4.0,1,65.0,3,2,4.0,3,1.0,1,1,1.0
808,2,42.0,1,1,9283.0,1,1,1.0,3,1,2.0,4,55.0,1,3,1.0,4,1.0,2,1,1.0
810,2,8.0,2,9,907.0,1,2,3.0,4,1,2.0,1,26.0,3,2,1.0,3,1.0,2,1,1.0
811,2,6.0,2,3,484.0,1,4,3.0,4,3,3.0,1,28.0,1,2,1.0,2,1.0,1,1,1.0
815,2,36.0,3,0,7432.0,1,3,2.0,2,1,2.0,2,54.0,3,1,1.0,3,1.0,1,1,1.0
816,4,6.0,2,4,1338.0,3,3,1.0,1,1,4.0,1,62.0,3,2,1.0,3,1.0,1,1,1.0
817,4,6.0,4,3,1554.0,1,4,1.0,2,1,2.0,3,24.0,3,1,2.0,3,1.0,2,1,1.0
818,1,36.0,2,1,15857.0,1,1,2.0,1,2,3.0,3,43.0,3,2,1.0,4,1.0,1,1,1.0
820,4,12.0,2,0,1101.0,1,3,3.0,4,1,2.0,1,27.0,3,2,2.0,3,1.0,2,1,1.0
821,3,12.0,2,3,3016.0,1,3,3.0,4,1,1.0,3,24.0,3,2,1.0,3,1.0,1,1,1.0
823,1,8.0,4,0,731.0,1,5,4.0,3,1,4.0,1,47.0,3,2,2.0,2,1.0,1,1,1.0
824,4,18.0,4,2,3780.0,1,2,3.0,1,1,2.0,3,35.0,3,2,2.0,4,1.0,2,1,1.0
825,1,21.0,4,0,1602.0,1,5,4.0,4,1,3.0,3,30.0,3,2,2.0,3,1.0,2,1,1.0
829,2,48.0,3,9,6681.0,5,3,4.0,3,1,4.0,4,38.0,3,3,1.0,3,2.0,2,1,1.0
830,4,24.0,3,9,2375.0,3,3,4.0,3,1,2.0,3,44.0,3,2,2.0,3,2.0,2,1,1.0
833,2,24.0,2,3,5084.0,5,5,2.0,2,1,4.0,3,42.0,3,2,1.0,3,1.0,2,1,1.0
836,4,12.0,2,3,886.0,5,3,4.0,2,1,2.0,3,21.0,3,2,1.0,3,1.0,1,1,1.0
837,4,4.0,2,2,601.0,1,2,1.0,2,1,3.0,1,23.0,3,1,1.0,2,2.0,1,1,1.0
838,1,24.0,4,1,2957.0,1,5,4.0,3,1,4.0,2,63.0,3,2,2.0,3,1.0,2,1,1.0
839,4,24.0,4,3,2611.0,1,5,4.0,4,2,3.0,1,46.0,3,2,2.0,3,1.0,1,1,1.0
841,4,21.0,3,1,2993.0,1,3,3.0,3,1,2.0,1,28.0,2,2,2.0,2,1.0,1,1,1.0
843,4,24.0,1,9,1559.0,1,4,4.0,3,1,4.0,3,50.0,1,2,1.0,3,1.0,2,1,1.0
844,4,18.0,2,2,3422.0,1,5,4.0,3,1,4.0,2,47.0,1,2,3.0,3,2.0,2,1,1.0
845,2,21.0,2,2,3976.0,5,4,2.0,3,1,3.0,3,35.0,3,2,1.0,3,1.0,2,1,1.0
847,4,24.0,2,0,1249.0,1,2,4.0,4,1,2.0,1,28.0,3,2,1.0,3,1.0,1,1,1.0
848,1,9.0,2,3,1364.0,1,4,3.0,3,1,4.0,1,59.0,3,2,1.0,3,1.0,1,1,1.0
851,4,24.0,4,1,4042.0,5,4,3.0,3,1,4.0,2,43.0,3,2,2.0,3,1.0,2,1,1.0
852,4,15.0,4,3,1471.0,1,3,4.0,3,1,4.0,4,35.0,3,3,2.0,3,1.0,2,1,1.0
854,4,36.0,3,0,10875.0,1,5,2.0,3,1,2.0,3,45.0,3,2,2.0,3,2.0,2,1,1.0
855,4,24.0,2,0,1474.0,2,2,4.0,4,1,3.0,1,33.0,3,2,1.0,3,1.0,2,1,1.0
856,4,10.0,2,8,894.0,5,4,4.0,2,1,3.0,2,40.0,3,2,1.0,3,1.0,2,1,1.0
857,4,15.0,4,2,3343.0,1,3,4.0,3,1,2.0,4,28.0,3,3,1.0,3,1.0,2,1,1.0
859,4,9.0,2,0,3577.0,2,3,1.0,3,3,2.0,1,26.0,3,1,1.0,3,2.0,1,2,1.0
